user,followers_count,friends_count,retweet_count,favorite_count,text
NikkeiAsia,245187,76,5,17,"-- Singapore and Hong Kong defer plans to launch a bilateral travel bubble.
-- Taiwan reports 333 domestic cases.
-… https://t.co/7Vb6pBZ9kq"
AceNewsServices,836,1384,0,0,(HONG KONG) HKU REPORT: The University announced on Friday that its research team had found a mutant strain of… https://t.co/CtqpGC1o7r
r1ms31dk,55,97,0,1,"Willingness to Take Coronavirus Vaccine, by Country:

United Kingdom 75%
Germany 73%
Japan 70%
Canada 68%
Portugal… https://t.co/QtGuBdw7yR"
JeromeTaylor,39647,4973,0,3,"@sehof @mgerrydoyle @BDHerzinger It's certainly depressing to see wealthy, small places like Hong Kong &amp; Singapore… https://t.co/MmTk5bXN2k"
JeromeTaylor,39647,4973,0,0,"@sehof @BDHerzinger Exactly, Singapore’s vaccination rates are double Hong Kong’s. There seems to be a lot less vaccine obstinacy there"
karina_tsui,273,788,2,0,RT @hannahsmumby: In Hong Kong we're still in a position where concerns about vaccines eclipse concerns about actually having COVID. But th…
Phapha565532822,0,0,0,0,@AJEnglish THE PROBLEM WE FACING IN ASIA IS PEOPLE ARE VACCINE RELUCTANT DESPITE WE HAVE VACCINE FOR EXAMPLE IN HONG KONG
AMCELL,8098,5773,2,0,RT @hannahsmumby: In Hong Kong we're still in a position where concerns about vaccines eclipse concerns about actually having COVID. But th…
hannahsmumby,1731,835,2,2,In Hong Kong we're still in a position where concerns about vaccines eclipse concerns about actually having COVID.… https://t.co/G406F3Fnij
John_F_Power,4682,4495,0,2,"It's time to stop talking about Hong Kong's vaccine uptake as ""sluggish"", and describe it as it really is. It's a d… https://t.co/mYqTJubxDs"
Jacquel83321440,0,28,1,0,"RT @ChinaSunSong: Zhu Hanqiang, director of an NGO in Hong Kong who moved to Taiwan Province before, said that considering that there is no…"
ChinaSunSong,485,277,1,1,"Zhu Hanqiang, director of an NGO in Hong Kong who moved to Taiwan Province before, said that considering that there… https://t.co/5OTBjyH4gn"
HYongzhe,1,27,0,0,"Market news: The latest batch of 740,000 doses of Pfizer vaccine has arrived in Hong Kong."
HealthBuzzBE,1472,2968,0,0,"🌟 Buzzing in the Belgian Healthcare Community 🌟 
 
📰 Hong Kong Is Testing Out a Vaccine Passport for Bars. Will It… https://t.co/QHctfzFk2g"
