index,Participant No.,Scene No.,Text Cond.,Audio Cond.,ROI category,Saccade Count,Total Saccade Distance,Average Saccade Distance,Total Saccade Duration,Average Saccade Duration
169,exp_17,Scene3,On,Off,Text,173,24.646183387504212,0.1424634877890417,45.19999999999993,0.2612716763005776
170,exp_17,Scene3,On,Off,Urban,11,6.366866028050062,0.5788060025500056,9.099999999999994,0.8272727272727267
171,exp_17,Scene4,On,On,Culturual  Heritage,58,6.514060163657464,0.11231138213202524,11.140000000000002,0.19206896551724142
172,exp_17,Scene4,On,On,Others,27,3.8744899893900335,0.1434996292366679,7.3399999999999395,0.2718518518518496
173,exp_17,Scene4,On,On,Tamed nature,4,1.1537863989149124,0.2884465997287281,2.219999999999999,0.5549999999999997
174,exp_17,Scene4,On,On,Text,137,26.075968859308805,0.19033553911904239,37.60000000000004,0.2744525547445258
175,exp_17,Scene4,On,On,Urban,6,2.729250640189489,0.45487510669824816,3.6400000000000006,0.6066666666666668
176,exp_17,Scene5,Off,Off,Culturual  Heritage,90,18.3929055429388,0.20436561714376442,23.720000000000034,0.26355555555555593
177,exp_17,Scene5,Off,Off,Nature,16,3.4987103050499155,0.21866939406561972,3.699999999999969,0.23124999999999807
178,exp_17,Scene5,Off,Off,Others,3,0.7653397937517596,0.25511326458391986,1.7199999999999989,0.5733333333333329
179,exp_17,Scene5,Off,Off,Tamed nature,24,6.888822981475164,0.2870342908947985,8.120000000000022,0.33833333333333426
180,exp_17,Scene5,Off,Off,Urban,105,20.95193054441279,0.19954219566107417,26.99999999999995,0.2571428571428567
181,exp_17,Scene6,Off,On,Culturual  Heritage,123,38.29306002456444,0.31132569125662146,53.839999999999975,0.43772357723577215
182,exp_17,Scene6,Off,On,Tamed nature,16,9.930677056558691,0.6206673160349182,19.799999999999986,1.2374999999999992
183,exp_17,Scene6,Off,On,Urban,1,0.18747453160362879,0.18747453160362879,0.8800000000000026,0.8800000000000026
184,exp_17,Scene7,On,Off,Culturual  Heritage,104,21.336757230594195,0.20516112721725188,28.860000000000028,0.27750000000000025
185,exp_17,Scene7,On,Off,Others,4,1.7510951435410465,0.4377737858852616,1.879999999999992,0.469999999999998
186,exp_17,Scene7,On,Off,Text,137,19.051280028297988,0.13906043816275904,31.819999999999983,0.2322627737226276
