user,followers_count,friends_count,retweet_count,favorite_count,text
achombi,10,47,0,0,did i just read someone assumed the vaccine is made from israel? https://t.co/TQflShJIIv
GetBasedNow,39,142,0,0,"@stephenjduckett In Israel, 26% of which occurred below the age of 40,  a high prevalence of massive vaginal bleedi… https://t.co/QZoJBv06zp"
CaronaUpdates,1378,1,833,0,"RT @johnpilger: Behind the West's veil of propaganda, there is always the truth of Palestine.  Read this moving account from Gaza, the worl…"
AgainstRiotism,12388,8057,3,0,RT @Beahumane1st: 4th Pt of Manmohan's letter dated18/04 is explaining to allow more companies in Vaccine production. It also highlights th…
acapsirap,399,372,13,0,"RT @farishaaakimi: Bugima punya orang...susah2 scientist islam lead research vaccine covid-19, last2 israel yang dapat nama🤣 https://t.co/1…"
laoxu07137885,2,31,0,0,"@USA_China_Talk @POTUS Shameless America! Actually there is still a face to say to share, deceived India! Help Isra… https://t.co/Ce16qQlg6c"
balqisafea,171,274,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
aiinaawesome,792,726,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
zekethefirst,754,282,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
MursyidNorizan,702,396,0,1,Aku lah kot jumpo acik-acik antivak yang leko dok sebarkan/forward dalam group ws family mak cik mak cik den ni mmg… https://t.co/0y8bKVKRzb
Kalytis_,7294,969,0,0,"@DelegueLata Pour information, voilà ce à quoi ressemble la courbe du Chili, qui vaccine massivement en ne se basan… https://t.co/27kHhaxx0m"
IngridCapeTown,129,352,138,0,"RT @ChelseaClinton: We could be making #covid19 vaccines in more places (potentially in Bangladesh, Canada, Denmark, Indonesia, Israel, Pak…"
adeelahmedshams,127,62,0,0,@e6eb8d2f4be6414 @IsraelinIndia @ElbitSystemsLtd @IsraelMFA @DrSJaishankar @MOS_MEA @HarshShringla @MEAIndia… https://t.co/H5TEDj2UIv
RivaCywiak,1651,1551,14,0,RT @FreedomIsrael_: #COVID vaccination reports from #Israel https://t.co/jj7GqRm02f
abe11i,8,56,33,0,"RT @TAlnawaiseh: While #israel has the highest number of people receiving the #covid vaccine worldwide, it has deprived Palestinians of the…"
LaureGonlezamar,8754,820,0,2,@MartineauAlex @PChaibriant Aucun pays n'a vacciné 90% de sa population. Le max c'est 75%. 62% pour Israël.
DjRUBY7,2,105,0,0,Californian from 94804. No weapons 4 Israel. Support HR2590. No tax $ for ethnic cleansing.  Guess what? I'm  a Jew… https://t.co/lZEHiNw1tA
FrhnQrsh,296,194,0,0,"@U_HRao1 Pepsi established in 1898 and israel in 1948....
Her cheez may saazish dhondna is fav pastime of pakistani… https://t.co/OGSpECxoOY"
